station_observations
CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
-0.5, 1.0, -0.5, 0.0, 1996-10-15 07:00:00, 0.0, 1.0
3.5, 0.0, -2.0, 3.5, 1996-10-15 15:20:00, 0.0, 0.0
-3.0, 0.0, -3.5, 3.5, 1996-10-16 07:00:00, None, 0.0
3.0, 0.0, -3.5, 4.5, 1996-10-16 15:20:00, 25.0, 0.0
-1.5, 0.1, -2.0, 3.0, 1996-10-17 07:00:00, 0.0, 0.1
-0.5, 10.0, -4.0, -0.5, 1996-10-18 06:45:00, 12.0, 38.0
1.0, 0.1, -1.5, 4.0, 1996-10-18 15:00:00, 1.0, 0.0
-3.5, 0.1, -4.0, 2.0, 1996-10-19 07:00:00, 0.0, 35.0
2.0, 0.0, -4.5, 3.5, 1996-10-19 15:00:00, 0.0, 31.0
2.5, 0.1, -5.5, 3.0, 1996-10-20 06:45:00, 0.0, 30.0
1.0, 0.0, -3.0, 1.0, 1996-10-20 15:00:00, 0.0, 29.0
-1.0, 6.0, -1.5, 1.0, 1996-10-21 06:45:00, 5.0, 32.0
0.5, 7.0, -1.0, 0.5, 1996-10-21 15:10:00, 18.0, 36.0
-1.5, 0.0, -1.5, 0.5, 1996-10-22 06:40:00, 2.0, 34.0
3.0, 0.0, -1.5, 5.0, 1996-10-22 15:00:00, 0.0, 33.0
-1.0, 3.0, -1.5, 4.0, 1996-10-23 06:40:00, 1.0, 34.0
-0.5, 6.0, -1.0, 0.0, 1996-10-23 15:00:00, 2.0, 40.0
-3.0, 5.0, -3.0, 0.5, 1996-10-24 06:40:00, 6.0, 44.0
0.5, 3.0, -3.5, 0.5, 1996-10-24 15:10:00, 3.0, 46.0
-3.0, 0.1, -3.5, 1.0, 1996-10-25 06:40:00, 0.0, 45.0
3.0, 0.0, 3.0, 3.5, 1996-10-25 15:00:00, 0.0, 44.0
-2.5, 0.0, -2.5, 3.0, 1996-10-26 06:40:00, 0.0, 43.0
4.0, 0.0, -2.5, 5.0, 1996-10-26 15:00:00, 0.0, 41.0
2.0, 0.0, 1.0, 4.0, 1996-10-27 06:40:00, 2.0, 39.0
6.0, 0.0, 1.0, 8.5, 1996-10-27 15:00:00, 1.0, 35.0
3.0, 0.0, 3.0, 6.0, 1996-10-28 06:50:00, 20.0, 28.0
1.0, 0.1, 1.0, 4.0, 1996-10-28 15:00:00, 5.0, 27.0
0.0, 0.0, -1.0, 1.0, 1996-10-29 06:40:00, 1.0, 26.0
5.5, 0.0, -0.5, 7.5, 1996-10-29 15:00:00, 0.0, 26.0
-1.0, 0.0, -1.0, 5.5, 1996-10-30 06:40:00, 0.0, 26.0
